Brand Name,Generic Name,manufacturer,2012 Total Spending,2012 Total Dosage Units,2012 Total Claims,"2012 Total 
Beneficiaries",2012 Average Spending Per Dosage Unit (Weighted),"2012 Average 
Spending Per Claim","2012 Average 
Spending Per Beneficiary",2013 Total Spending,2013 Total Dosage Units,2013 Total Claims,"2013 Total 
Beneficiaries",2013 Average Spending Per Dosage Unit (Weighted),"2013 Average 
Spending Per Claim","2013 Average 
Spending Per Beneficiary",2014 Total Spending,2014 Total Dosage Units,2014 Total Claims,"2014 Total 
Beneficiaries",2014 Average Spending Per Dosage Unit (Weighted),"2014 Average 
Spending Per Claim","2014 Average 
Spending Per Beneficiary",2015 Total Spending,2015 Total Dosage Units,2015 Total Claims,"2015 Total 
Beneficiaries",2015 Average Spending Per Dosage Unit (Weighted),"2015 Average 
Spending Per Claim","2015 Average 
Spending Per Beneficiary",2016 Total Spending,2016 Total Dosage Units,2016 Total Claims,"2016 Total 
Beneficiaries",2016 Average Spending Per Dosage Unit (Weighted),"2016 Average 
Spending Per Claim","2016 Average 
Spending Per Beneficiary",Change in Average Spending Per Dosage Unit (2015-2016),Annual Growth Rate in Average Spending Per Dosage Unit (2012-2016)
Acarbose ,Acarbose ,Actavis Pharma ,"$5,290,875.77 ","9,047,071","79,858","18,912",$0.58 ,$66.25 ,$279.76 ,"$2,782,433.30 ","5,033,906","43,561","12,828",$0.55 ,$63.87 ,$216.90 ,"$2,431,226.19 ","4,968,348","39,251","10,601",$0.49 ,$61.94 ,$229.34 ,"$1,894,414.40 ","4,220,799","32,191","9,194",$0.45 ,$58.85 ,$206.05 ,"$1,032,584.73 ","2,791,113","20,614","6,796",$0.37 ,$50.09 ,$151.94 ,-17.67%,-10.83%
Acarbose ,Acarbose ,Alvogen Inc ,  ,  ,  ,  ,  ,  ,  ,"$63,768.05 ","122,980","1,041",827,$0.52 ,$61.26 ,$77.11 ,"$415,415.90 ","868,395","7,615","2,377",$0.48 ,$54.55 ,$174.76 ,"$385,561.96 ","880,229","5,205","2,187",$0.44 ,$74.08 ,$176.30 ,"$1,317,934.32 ","3,015,623","23,232","7,137",$0.44 ,$56.73 ,$184.66 ,-0.15%,-5.40%
Acarbose ,Acarbose ,Global Pharm ,"$2,210,325.32 ","3,787,156","33,928","10,489",$0.58 ,$65.15 ,$210.73 ,"$2,122,382.12 ","3,946,050","37,394","9,836",$0.54 ,$56.76 ,$215.78 ,"$884,592.66 ","1,748,620","15,069","4,785",$0.51 ,$58.70 ,$184.87 ,"$550,352.83 ","1,015,231","7,436","2,590",$0.54 ,$74.01 ,$212.49 ,"$199,275.88 ","423,307","3,542","1,334",$0.47 ,$56.26 ,$149.38 ,-13.67%,-5.33%
Acarbose ,Acarbose ,Heritage Pharma ,"$100,126.53 ","165,203","1,060",944,$0.61 ,$94.46 ,$106.07 ,"$2,648,133.98 ","4,794,038","35,172","10,322",$0.55 ,$75.29 ,$256.55 ,"$2,243,927.77 ","4,426,636","32,184","8,769",$0.51 ,$69.72 ,$255.89 ,"$1,876,972.20 ","3,926,336","28,252","8,206",$0.48 ,$66.44 ,$228.73 ,"$348,698.50 ","756,793","5,740","2,470",$0.46 ,$60.75 ,$141.17 ,-3.91%,-6.74%
Acarbose ,Acarbose ,Mylan ,"$1,362,137.37 ","2,371,295","18,918","7,160",$0.57 ,$72.00 ,$190.24 ,"$2,674,471.60 ","4,913,495","40,352","10,612",$0.54 ,$66.28 ,$252.02 ,"$2,442,952.22 ","4,974,617","39,364","9,982",$0.49 ,$62.06 ,$244.74 ,"$2,083,853.20 ","4,381,144","33,607","8,718",$0.48 ,$62.01 ,$239.03 ,"$455,694.83 ","1,118,664","8,878","4,211",$0.41 ,$51.33 ,$108.22 ,-14.40%,-8.23%
Acarbose ,Acarbose ,Roxane/West-War ,"$2,974,630.53 ","4,766,227","47,008","12,375",$0.62 ,$63.28 ,$240.37 ,"$2,548,369.06 ","4,302,313","41,785","11,433",$0.59 ,$60.99 ,$222.90 ,"$3,654,422.43 ","7,458,976","68,077","16,245",$0.49 ,$53.68 ,$224.96 ,"$4,160,580.97 ","8,811,740","82,152","18,015",$0.47 ,$50.64 ,$230.95 ,"$2,117,200.42 ","5,179,156","48,311","14,438",$0.41 ,$43.82 ,$146.64 ,-13.43%,-10.00%
Acarbose ,Acarbose ,Strides Pharma ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,"$88,649.75 ","191,269","1,892",704,$0.46 ,$46.86 ,$125.92 ,"$366,495.82 ","809,035","7,428","2,492",$0.45 ,$49.34 ,$147.07 ,"$1,412,045.24 ","3,606,788","28,882","9,124",$0.39 ,$48.89 ,$154.76 ,-13.57%,-8.05%
Acarbose ,Acarbose ,Virtus Pharmace ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,"$73,921.13 ","156,328","1,382",558,$0.47 ,$53.49 ,$132.48 ,"$535,852.70 ","1,216,602","9,061","4,378",$0.44 ,$59.14 ,$122.40 ,"$2,690,735.78 ","7,350,105","53,849","16,989",$0.37 ,$49.97 ,$158.38 ,-16.69%,-11.77%
Accolate ,Zafirlukast ,Par Pharmaceuti ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,"$377,795.18 ","102,798","1,144",272,$3.68 ,$330.24 ,"$1,388.95 ","$275,819.90 ","74,734",899,259,$3.69 ,$306.81 ,"$1,064.94 ",0.42%,0.42%
Accupril ,Quinapril HCl ,Pfizer US Pharm ,"$872,195.22 ","438,131","7,244","1,496",$1.99 ,$120.40 ,$583.02 ,"$1,057,706.05 ","481,214","7,349","1,447",$2.20 ,$143.93 ,$730.96 ,"$1,043,445.30 ","414,805","6,048","1,312",$2.52 ,$172.53 ,$795.31 ,"$1,121,970.82 ","385,162","5,701","1,076",$2.91 ,$196.80 ,"$1,042.72 ","$2,129,447.52 ","628,104","8,133","1,742",$3.39 ,$261.83 ,"$1,222.42 ",16.39%,14.25%
Accuretic ,Quinapril/Hydrochlorothiazide ,Pfizer US Pharm ,"$79,537.92 ","40,259",612,145,$1.97 ,$129.96 ,$548.54 ,"$85,359.53 ","39,534",579,133,$2.16 ,$147.43 ,$641.80 ,"$72,349.89 ","29,600",428,105,$2.45 ,$169.04 ,$689.05 ,"$74,448.13 ","26,392",350,86,$2.82 ,$212.71 ,$865.68 ,"$254,634.20 ","78,295",825,225,$3.25 ,$308.65 ,"$1,131.71 ",15.29%,13.28%
Acebutolol HCl ,Acebutolol HCl ,Amneal Pharmace ,"$1,974,651.79 ","5,550,619","69,352","13,020",$0.36 ,$28.47 ,$151.66 ,"$2,081,405.14 ","6,109,391","73,098","14,546",$0.34 ,$28.47 ,$143.09 ,"$1,859,846.82 ","6,091,146","71,964","14,358",$0.31 ,$25.84 ,$129.53 ,"$1,515,037.80 ","6,064,176","70,027","14,530",$0.25 ,$21.64 ,$104.27 ,"$2,132,902.91 ","6,125,944","69,819","13,985",$0.35 ,$30.55 ,$152.51 ,39.40%,-0.58%
Acebutolol HCl ,Acebutolol HCl ,Mylan ,"$1,567,123.98 ","4,357,434","57,885","11,457",$0.36 ,$27.07 ,$136.78 ,"$1,805,772.19 ","4,987,933","61,120","13,146",$0.36 ,$29.54 ,$137.36 ,"$1,664,075.53 ","5,168,003","58,810","12,717",$0.32 ,$28.30 ,$130.85 ,"$1,239,391.30 ","4,900,855","53,950","11,950",$0.25 ,$22.97 ,$103.71 ,"$1,567,538.45 ","4,679,025","49,629","11,215",$0.34 ,$31.59 ,$139.77 ,32.30%,-1.85%
Acetaminophen-Codeine ,Acetaminophen With Codeine ,Ahp ,"$23,529.31 ","121,972","1,816",913,$0.19 ,$12.96 ,$25.77 ,"$28,693.72 ","146,287","2,347",942,$0.20 ,$12.23 ,$30.46 ,"$36,118.47 ","182,251","3,071","1,691",$0.19 ,$11.76 ,$21.36 ,"$65,326.20 ","266,874","4,412","3,133",$0.23 ,$14.81 ,$20.85 ,"$20,274.53 ","56,439","1,158",615,$0.34 ,$17.51 ,$32.97 ,45.37%,14.84%
Acetaminophen-Codeine ,Acetaminophen With Codeine ,Amneal Pharmace ,"$1,280.19 ","5,776",128,113,$0.22 ,$10.00 ,$11.33 ,"$411,400.70 ","2,199,131","42,151","22,425",$0.19 ,$9.76 ,$18.35 ,"$639,657.02 ","3,715,553","71,784","41,064",$0.17 ,$8.91 ,$15.58 ,"$4,732,699.25 ","22,883,777","458,384","296,053",$0.21 ,$10.32 ,$15.99 ,"$10,532,865.92 ","49,951,497","1,007,971","561,862",$0.21 ,$10.45 ,$18.75 ,1.96%,-1.24%
Acetaminophen-Codeine ,Acetaminophen With Codeine ,Aurobindo Pharm ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,"$141,430.81 ","754,460","13,276","11,115",$0.18 ,$10.65 ,$12.72 ,"$1,086,662.22 ","4,744,143","81,386","62,642",$0.21 ,$13.35 ,$17.35 ,"$2,541,200.81 ","8,684,023","110,535","53,480",$0.28 ,$22.99 ,$47.52 ,33.81%,24.04%
Acetaminophen-Codeine ,Acetaminophen With Codeine ,Hi-Tech/Akorn C ,"$175,168.49 ","5,712,006","18,806","11,976",$0.03 ,$9.31 ,$14.63 ,"$200,305.30 ","6,687,170","22,686","15,041",$0.03 ,$8.83 ,$13.32 ,"$165,163.07 ","6,139,845","20,912","14,214",$0.03 ,$7.90 ,$11.62 ,"$201,041.37 ","8,035,323","26,199","18,247",$0.03 ,$7.67 ,$11.02 ,"$207,150.70 ","8,395,060","26,717","17,874",$0.02 ,$7.75 ,$11.59 ,-1.38%,-5.29%
Acetaminophen-Codeine ,Acetaminophen With Codeine ,Mallinckrodt Ph ,"$9,257,036.41 ","36,205,928","621,341","276,282",$0.25 ,$14.90 ,$33.51 ,"$5,292,308.79 ","18,952,421","320,118","153,040",$0.27 ,$16.53 ,$34.58 ,"$5,177,772.08 ","19,580,494","329,227","176,821",$0.26 ,$15.73 ,$29.28 ,"$6,571,707.32 ","23,183,559","428,919","249,315",$0.28 ,$15.32 ,$26.36 ,"$9,986,542.81 ","34,634,977","635,320","327,612",$0.28 ,$15.72 ,$30.48 ,1.00%,2.67%
Acetaminophen-Codeine ,Acetaminophen With Codeine ,Mckesson Packag ,"$17,626.21 ","81,434","1,728",928,$0.22 ,$10.20 ,$18.99 ,"$18,774.02 ","92,291","2,099","1,168",$0.20 ,$8.94 ,$16.07 ,"$23,893.27 ","130,754","2,794","1,925",$0.18 ,$8.55 ,$12.41 ,"$36,390.59 ","197,080","4,162","3,203",$0.18 ,$8.74 ,$11.36 ,"$10,032.60 ","35,330","1,006",576,$0.28 ,$9.97 ,$17.42 ,53.79%,7.02%
Acetaminophen-Codeine ,Acetaminophen With Codeine ,Morton Grove Ph ,"$74,731.41 ","2,378,773","7,527","4,955",$0.03 ,$9.93 ,$15.08 ,"$66,704.28 ","2,111,717","6,835","4,621",$0.03 ,$9.76 ,$14.44 ,"$45,243.06 ","1,746,920","5,587","3,901",$0.03 ,$8.10 ,$11.60 ,"$72,821.39 ","2,997,820","9,497","6,703",$0.02 ,$7.67 ,$10.86 ,"$55,225.41 ","2,308,614","7,250","5,134",$0.02 ,$7.62 ,$10.76 ,-1.52%,-6.59%
Acetaminophen-Codeine ,Acetaminophen With Codeine ,Mylan Instituti ,"$5,695.44 ","20,165",629,281,$0.28 ,$9.05 ,$20.27 ,"$3,484.77 ","14,137",494,244,$0.25 ,$7.05 ,$14.28 ,"$3,518.96 ","15,594",516,319,$0.23 ,$6.82 ,$11.03 ,"$5,818.82 ","28,199",773,614,$0.21 ,$7.53 ,$9.48 ,"$3,774.26 ","10,831",548,264,$0.35 ,$6.89 ,$14.30 ,68.87%,5.39%
Acetaminophen-Codeine ,Acetaminophen With Codeine ,Pharmaceutical ,"$133,787.99 ","3,876,523","12,733","8,374",$0.03 ,$10.51 ,$15.98 ,"$69,847.85 ","1,683,729","5,985","3,628",$0.04 ,$11.67 ,$19.25 ,"$50,453.72 ","1,502,633","5,454","3,464",$0.03 ,$9.25 ,$14.57 ,"$70,470.73 ","2,447,193","8,390","5,724",$0.03 ,$8.40 ,$12.31 ,"$68,708.92 ","2,389,443","8,077","5,412",$0.03 ,$8.51 ,$12.70 ,-0.14%,-4.46%
Acetaminophen-Codeine ,Acetaminophen With Codeine ,Qualitest ,"$14,612,097.83 ","67,621,865","1,204,283","579,384",$0.21 ,$12.13 ,$25.22 ,"$13,917,376.67 ","69,628,496","1,228,216","601,702",$0.19 ,$11.33 ,$23.13 ,"$13,458,812.89 ","74,366,300","1,331,199","699,934",$0.18 ,$10.11 ,$19.23 ,"$14,641,769.71 ","71,868,587","1,306,750","732,505",$0.20 ,$11.20 ,$19.99 ,"$5,093,971.22 ","18,159,092","291,892","163,679",$0.26 ,$17.45 ,$31.12 ,34.27%,5.70%
Acetaminophen-Codeine ,Acetaminophen With Codeine ,Ranbaxy Pharmac ,"$12,678.13 ","45,356",559,228,$0.28 ,$22.68 ,$55.61 ,"$3,902.45 ","14,185",183,74,$0.28 ,$21.32 ,$52.74 ,"$4,268.83 ","16,859",195,75,$0.25 ,$21.89 ,$56.92 ,"$1,879.94 ","7,647",101,46,$0.25 ,$18.61 ,$40.87 ,"$1,589.48 ","4,544",81,26,$0.35 ,$19.62 ,$61.13 ,42.29%,5.77%
Acetaminophen-Codeine ,Acetaminophen With Codeine ,Teva USA ,"$10,630,166.91 ","47,478,538","816,551","374,663",$0.22 ,$13.02 ,$28.37 ,"$12,779,534.16 ","61,779,855","1,073,137","487,604",$0.20 ,$11.91 ,$26.21 ,"$11,653,034.90 ","60,135,644","1,055,193","512,869",$0.19 ,$11.04 ,$22.72 ,"$16,253,860.59 ","77,106,426","1,345,826","690,148",$0.20 ,$12.08 ,$23.55 ,"$20,307,503.68 ","88,827,817","1,595,519","773,830",$0.22 ,$12.73 ,$26.24 ,8.57%,0.11%
Acetasol HC ,Hydrocortisone/Acetic Acid ,Actavis/Allerga ,"$565,690.75 ","39,541","3,097","2,403",$14.31 ,$182.66 ,$235.41 ,"$360,808.84 ","20,280","1,974","1,530",$17.79 ,$182.78 ,$235.82 ,"$150,393.92 ","10,580","1,023",780,$14.21 ,$147.01 ,$192.81 ,"$76,243.00 ","5,965",564,462,$12.78 ,$135.18 ,$165.03 ,"$44,388.51 ","3,935",374,306,$11.28 ,$118.69 ,$145.06 ,-11.75%,-5.77%
Acetazolamide ,Acetazolamide ,Ahp ,"$104,973.49 ","36,107","1,089",547,$3.26 ,$96.39 ,$191.91 ,"$92,676.11 ","51,269","1,249",662,$2.25 ,$74.20 ,$139.99 ,"$145,934.84 ","71,134","1,611",702,$2.17 ,$90.59 ,$207.88 ,"$154,043.61 ","61,171","1,442",668,$2.58 ,$106.83 ,$230.60 ,"$104,120.57 ","41,594","1,024",454,$2.54 ,$101.68 ,$229.34 ,-1.53%,-6.05%
Acetazolamide ,Acetazolamide ,Barr ,"$2,515,889.60 ","770,769","17,389","7,929",$3.26 ,$144.68 ,$317.30 ,"$1,781,572.70 ","606,195","13,355","6,074",$2.94 ,$133.40 ,$293.31 ,"$3,263,288.61 ","1,218,128","25,369","11,000",$2.68 ,$128.63 ,$296.66 ,"$3,780,881.60 ","1,414,220","29,970","12,823",$2.67 ,$126.16 ,$294.85 ,"$1,101,176.65 ","455,237","10,610","6,041",$2.42 ,$103.79 ,$182.28 ,-9.52%,-7.22%
Acetazolamide ,Acetazolamide ,Heritage Pharma ,"$1,346,224.38 ","419,797","7,969","3,792",$3.21 ,$168.93 ,$355.02 ,"$3,145,534.27 ","1,070,071","20,799","9,160",$2.94 ,$151.23 ,$343.40 ,"$3,983,483.91 ","1,448,094","27,490","11,468",$2.75 ,$144.91 ,$347.36 ,"$4,459,483.22 ","1,626,520","30,731","12,935",$2.74 ,$145.11 ,$344.76 ,"$5,739,218.68 ","2,429,780","45,408","17,198",$2.36 ,$126.39 ,$333.71 ,-13.85%,-7.36%
Acetazolamide ,Acetazolamide ,Lannett Co. Inc ,"$2,787,242.28 ","5,472,534","85,627","28,668",$0.51 ,$32.55 ,$97.22 ,"$3,525,955.80 ","5,943,950","91,820","32,278",$0.59 ,$38.40 ,$109.24 ,"$10,149,551.84 ","6,107,516","94,906","33,543",$1.66 ,$106.94 ,$302.58 ,"$12,572,036.42 ","6,482,633","99,275","35,781",$1.94 ,$126.64 ,$351.36 ,"$11,925,294.50 ","6,571,584","98,875","35,129",$1.81 ,$120.61 ,$339.47 ,-6.43%,37.39%
Acetazolamide ,Acetazolamide ,Taro Pharm USA ,"$2,781,194.23 ","5,830,118","96,237","32,035",$0.48 ,$28.90 ,$86.82 ,"$3,695,993.62 ","6,191,039","101,392","35,745",$0.60 ,$36.45 ,$103.40 ,"$10,313,124.27 ","6,878,916","112,750","41,611",$1.50 ,$91.47 ,$247.85 ,"$13,232,175.87 ","7,143,206","117,744","44,769",$1.84 ,$112.38 ,$295.57 ,"$13,935,838.90 ","7,459,927","123,390","46,280",$1.85 ,$112.94 ,$301.12 ,0.59%,40.40%
Acetazolamide ,Acetazolamide ,Zydus Pharmaceu ,"$5,903,159.31 ","1,881,207","39,046","16,910",$3.14 ,$151.18 ,$349.09 ,"$5,343,841.76 ","1,846,594","38,170","17,050",$2.89 ,$140.00 ,$313.42 ,"$3,376,693.08 ","1,247,603","26,616","12,227",$2.71 ,$126.87 ,$276.17 ,"$2,964,984.53 ","1,065,805","21,334","9,878",$2.78 ,$138.98 ,$300.16 ,"$3,519,167.02 ","1,515,642","28,599","13,033",$2.32 ,$123.05 ,$270.02 ,-16.54%,-7.25%
