Brand Name,Generic Name,Number of Manufacturers,2012 Total Spending,2012 Total Dosage Units,2012 Total Claims,"2012 Total 
Beneficiaries",2012 Average Spending Per Dosage Unit (Weighted),"2012 Average 
Spending Per Claim","2012 Average 
Spending Per Beneficiary",2013 Total Spending,2013 Total Dosage Units,2013 Total Claims,"2013 Total 
Beneficiaries",2013 Average Spending Per Dosage Unit (Weighted),"2013 Average 
Spending Per Claim","2013 Average 
Spending Per Beneficiary",2014 Total Spending,2014 Total Dosage Units,2014 Total Claims,"2014 Total 
Beneficiaries",2014 Average Spending Per Dosage Unit (Weighted),"2014 Average 
Spending Per Claim","2014 Average 
Spending Per Beneficiary",2015 Total Spending,2015 Total Dosage Units,2015 Total Claims,"2015 Total 
Beneficiaries",2015 Average Spending Per Dosage Unit (Weighted),"2015 Average 
Spending Per Claim","2015 Average 
Spending Per Beneficiary",2016 Total Spending,2016 Total Dosage Units,2016 Total Claims,"2016 Total 
Beneficiaries",2016 Average Spending Per Dosage Unit (Weighted),"2016 Average 
Spending Per Claim","2016 Average 
Spending Per Beneficiary",Change in Average Spending Per Dosage Unit (2015-2016),Annual Growth Rate in Average Spending Per Dosage Unit (2012-2016)
Acamprosate Calcium ,Acamprosate Calcium ,3,  ,  ,  ,  ,  ,  ,  ,"$840,135.42 ","792,170","4,881","2,576",$1.06 ,$172.12 ,$326.14 ,"$2,922,132.52 ","2,978,644","18,515","6,522",$0.98 ,$157.83 ,$448.04 ,"$4,203,942.33 ","4,512,054","28,535","8,891",$0.93 ,$147.33 ,$472.83 ,"$4,100,335.98 ","4,419,061","27,893","8,771",$0.93 ,$147.00 ,$467.49 ,-0.43%,-4.37%
Acanya ,Clindamycin Phos/Benzoyl Perox ,1,"$155,565.68 ","30,950",617,387,$5.03 ,$252.13 ,$401.98 ,"$290,935.56 ","46,265",888,574,$6.29 ,$327.63 ,$506.86 ,"$351,156.40 ","46,645",911,572,$7.53 ,$385.46 ,$613.91 ,"$360,520.84 ","42,010",799,452,$8.58 ,$451.22 ,$797.61 ,"$293,488.75 ","33,180",630,354,$8.85 ,$465.86 ,$829.06 ,3.07%,15.18%
Acarbose ,Acarbose ,8,"$11,938,095.52 ","20,136,951","180,772","35,229",$0.59 ,$66.04 ,$338.87 ,"$12,839,558.11 ","23,112,782","199,305","40,003",$0.56 ,$64.42 ,$320.96 ,"$12,235,108.05 ","24,793,188","204,834","41,884",$0.49 ,$59.73 ,$292.12 ,"$11,854,084.08 ","25,261,114","205,332","42,192",$0.47 ,$57.73 ,$280.96 ,"$9,574,169.70 ","24,241,548","193,048","41,235",$0.40 ,$49.59 ,$232.19 ,-15.57%,-9.60%
Accolate ,Zafirlukast ,1,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,"$377,795.18 ","102,798","1,144",272,$3.68 ,$330.24 ,"$1,388.95 ","$275,819.90 ","74,734",899,259,$3.69 ,$306.81 ,"$1,064.94 ",0.42%,0.42%
Accupril ,Quinapril HCl ,1,"$872,195.22 ","438,131","7,244","1,496",$1.99 ,$120.40 ,$583.02 ,"$1,057,706.05 ","481,214","7,349","1,447",$2.20 ,$143.93 ,$730.96 ,"$1,043,445.30 ","414,805","6,048","1,312",$2.52 ,$172.53 ,$795.31 ,"$1,121,970.82 ","385,162","5,701","1,076",$2.91 ,$196.80 ,"$1,042.72 ","$2,129,447.52 ","628,104","8,133","1,742",$3.39 ,$261.83 ,"$1,222.42 ",16.39%,14.25%
Accuretic ,Quinapril/Hydrochlorothiazide ,1,"$79,537.92 ","40,259",612,145,$1.97 ,$129.96 ,$548.54 ,"$85,359.53 ","39,534",579,133,$2.16 ,$147.43 ,$641.80 ,"$72,349.89 ","29,600",428,105,$2.45 ,$169.04 ,$689.05 ,"$74,448.13 ","26,392",350,86,$2.82 ,$212.71 ,$865.68 ,"$254,634.20 ","78,295",825,225,$3.25 ,$308.65 ,"$1,131.71 ",15.29%,13.28%
Acebutolol HCl ,Acebutolol HCl ,2,"$3,541,775.77 ","9,908,053","127,237","21,595",$0.36 ,$27.84 ,$164.01 ,"$3,887,177.33 ","11,097,324","134,218","23,937",$0.35 ,$28.96 ,$162.39 ,"$3,523,922.35 ","11,259,149","130,774","24,323",$0.31 ,$26.95 ,$144.88 ,"$2,754,429.10 ","10,965,031","123,977","23,584",$0.25 ,$22.22 ,$116.79 ,"$3,700,441.36 ","10,804,969","119,448","23,186",$0.34 ,$30.98 ,$159.60 ,36.39%,-1.12%
Acetaminophen-Codeine ,Acetaminophen With Codeine ,12,"$34,943,798.32 ","163,548,337","2,686,101","1,166,657",$0.22 ,$13.01 ,$29.95 ,"$32,792,332.71 ","163,309,419","2,704,251","1,206,657",$0.20 ,$12.13 ,$27.18 ,"$31,399,367.08 ","168,287,306","2,839,208","1,339,293",$0.19 ,$11.06 ,$23.44 ,"$43,740,448.13 ","213,766,628","3,674,799","1,720,136",$0.21 ,$11.90 ,$25.43 ,"$48,828,840.34 ","213,457,667","3,686,074","1,708,259",$0.23 ,$13.25 ,$28.58 ,11.04%,1.14%
Acetasol HC ,Hydrocortisone/Acetic Acid ,1,"$565,690.75 ","39,541","3,097","2,403",$14.31 ,$182.66 ,$235.41 ,"$360,808.84 ","20,280","1,974","1,530",$17.79 ,$182.78 ,$235.82 ,"$150,393.92 ","10,580","1,023",780,$14.21 ,$147.01 ,$192.81 ,"$76,243.00 ","5,965",564,462,$12.78 ,$135.18 ,$165.03 ,"$44,388.51 ","3,935",374,306,$11.28 ,$118.69 ,$145.06 ,-11.75%,-5.77%
Acetazolamide ,Acetazolamide ,6,"$15,438,683.29 ","14,410,531","247,357","81,663",$1.20 ,$62.41 ,$189.05 ,"$17,585,574.26 ","15,709,117","266,785","91,370",$1.23 ,$65.92 ,$192.47 ,"$31,232,076.55 ","16,971,391","288,742","100,138",$1.89 ,$108.17 ,$311.89 ,"$37,163,605.25 ","17,793,554","300,496","105,283",$2.12 ,$123.67 ,$352.99 ,"$36,324,816.32 ","18,473,764","307,906","107,888",$1.98 ,$117.97 ,$336.69 ,-6.53%,13.25%
Acetic Acid ,Acetic Acid ,6,"$1,216,824.63 ","41,163,725","46,448","24,236",$1.12 ,$26.20 ,$50.21 ,"$1,251,715.51 ","38,303,705","53,177","26,476",$1.03 ,$23.54 ,$47.28 ,"$1,232,021.23 ","40,411,511","53,865","26,687",$0.93 ,$22.87 ,$46.17 ,"$1,211,099.88 ","40,266,512","56,631","28,896",$0.92 ,$21.39 ,$41.91 ,"$1,286,723.35 ","40,714,002","60,060","31,569",$0.89 ,$21.42 ,$40.76 ,-3.23%,-5.58%
Acetic Acid-Aluminum ,Acetic Acid/Aluminum Acetate ,1,"$329,945.43 ","329,502","5,307","3,893",$1.00 ,$62.17 ,$84.75 ,"$319,470.77 ","324,115","5,283","3,868",$0.99 ,$60.47 ,$82.59 ,"$254,718.58 ","268,015","4,393","3,227",$0.95 ,$57.98 ,$78.93 ,"$272,722.06 ","284,784","4,633","3,348",$0.96 ,$58.87 ,$81.46 ,"$254,673.41 ","273,549","4,454","3,335",$0.93 ,$57.18 ,$76.36 ,-2.78%,-1.80%
Acetylcysteine ,Acetylcysteine ,5,"$1,010,692.05 ","1,370,559","20,861","8,176",$0.75 ,$48.45 ,$123.62 ,"$1,491,629.26 ","753,974","11,201","5,464",$1.72 ,$133.17 ,$272.99 ,"$1,374,928.33 ","1,528,748","20,223","7,055",$0.89 ,$67.99 ,$194.89 ,"$1,347,452.78 ","1,885,563","25,082","7,508",$0.71 ,$53.72 ,$179.47 ,"$1,727,080.02 ","2,200,958","28,214","7,645",$0.79 ,$61.21 ,$225.91 ,11.52%,1.46%
Aciphex ,Rabeprazole Sodium ,1,"$107,544,181.48 ","12,622,972","293,590","60,644",$8.52 ,$366.31 ,"$1,773.37 ","$117,371,070.36 ","11,468,006","228,394","60,088",$10.23 ,$513.90 ,"$1,953.32 ","$32,473,502.72 ","2,768,705","49,210","11,838",$11.73 ,$659.90 ,"$2,743.16 ","$30,715,984.10 ","2,200,650","36,331","7,177",$13.96 ,$845.45 ,"$4,279.78 ","$27,837,299.79 ","1,797,313","28,163","5,501",$15.49 ,$988.44 ,"$5,060.41 ",10.97%,16.12%
Aciphex Sprinkle ,Rabeprazole Sodium ,1,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,"$41,558.34 ","3,117",60,30,$13.33 ,$692.64 ,"$1,385.28 ","$170,139.52 ","10,788",186,56,$15.77 ,$914.73 ,"$3,038.21 ",18.29%,18.29%
Acitretin ,Acitretin ,3,  ,  ,  ,  ,  ,  ,  ,"$10,261,958.99 ","391,098","10,344","4,210",$26.42 ,$992.07 ,"$2,437.52 ","$33,168,173.10 ","1,311,375","35,054","8,971",$25.45 ,$946.20 ,"$3,697.27 ","$30,924,001.83 ","1,287,388","34,361","7,970",$24.19 ,$899.97 ,"$3,880.05 ","$21,195,726.88 ","1,029,005","27,588","6,999",$20.72 ,$768.30 ,"$3,028.39 ",-14.35%,-7.78%
Actemra ,Tocilizumab ,1,"$4,127,018.09 ","59,855","2,770",359,$68.04 ,"$1,489.90 ","$11,495.87 ","$6,774,144.99 ","88,211","4,052",649,$100.79 ,"$1,671.80 ","$10,437.82 ","$24,667,721.03 ","113,241","12,040","2,187",$520.30 ,"$2,048.81 ","$11,279.25 ","$43,506,165.44 ","119,325","17,896","2,925",$677.15 ,"$2,431.06 ","$14,873.90 ","$61,489,156.80 ","137,157","22,165","3,499",$784.76 ,"$2,774.16 ","$17,573.35 ",15.89%,84.29%
Acthib ,Haemoph B Poly Conj-Tet Tox/PF ,1,"$14,332.74 ",500,404,377,$28.67 ,$35.48 ,$38.02 ,"$14,555.67 ",368,375,333,$39.54 ,$38.82 ,$43.71 ,"$21,933.20 ",602,597,544,$36.46 ,$36.74 ,$40.32 ,"$26,371.43 ",718,679,588,$36.73 ,$38.84 ,$44.85 ,"$7,638.78 ",173,181,172,$44.15 ,$42.20 ,$44.41 ,20.22%,11.40%
Actigall ,Ursodiol ,1,"$543,614.54 ","93,441",791,145,$5.82 ,$687.25 ,"$3,749.07 ","$653,386.51 ","103,791",833,169,$6.30 ,$784.38 ,"$3,866.19 ","$777,299.54 ","117,564",860,187,$6.61 ,$903.84 ,"$4,156.68 ","$835,932.32 ","119,153",865,190,$7.02 ,$966.40 ,"$4,399.64 ","$784,865.18 ","103,610",753,157,$7.58 ,"$1,042.32 ","$4,999.14 ",7.98%,6.82%
Actimmune ,"Interferon Gamma-1b,Recomb. ",1,  ,  ,  ,  ,  ,  ,  ,"$608,973.50 ",175,21,21,"$3,479.85 ","$28,998.74 ","$28,998.74 ","$18,462,873.52 ","4,439",543,59,"$4,159.24 ","$34,001.61 ","$312,930.06 ","$24,298,651.79 ","3,846",505,62,"$6,318.72 ","$48,116.14 ","$391,913.74 ","$22,560,662.62 ","3,114",452,64,"$7,246.08 ","$49,912.97 ","$352,510.35 ",14.68%,27.70%
Actiq ,Fentanyl Citrate ,1,"$3,265,525.17 ","23,850",181,21,$136.92 ,"$18,041.58 ","$155,501.20 ","$2,763,016.20 ","20,120",158,16,$137.33 ,"$17,487.44 ","$172,688.51 ","$1,228,842.25 ","9,030",75,  ,$136.08 ,"$16,384.56 ",  ,"$1,562,460.91 ","11,220",84,  ,$139.26 ,"$18,600.73 ",  ,"$1,828,655.21 ","11,790",80,  ,$155.10 ,"$22,858.19 ",  ,11.38%,3.17%
Activella ,Estradiol/Norethindrone Acet ,1,"$853,728.09 ","232,352","5,857","1,357",$3.68 ,$145.76 ,$629.13 ,"$830,173.68 ","192,618","4,724","1,056",$4.32 ,$175.74 ,$786.15 ,"$642,135.67 ","122,594","2,990",719,$5.25 ,$214.76 ,$893.10 ,"$654,773.77 ","98,478","2,373",484,$6.67 ,$275.93 ,"$1,352.84 ","$428,238.82 ","57,926","1,435",372,$7.40 ,$298.42 ,"$1,151.18 ",10.96%,19.09%
Actonel ,Risedronate Sodium ,1,"$176,545,624.39 ","4,128,887","944,506","200,343",$73.08 ,$186.92 ,$881.22 ,"$172,256,361.32 ","3,507,299","793,957","166,083",$84.21 ,$216.96 ,"$1,037.17 ","$151,127,143.71 ","2,477,989","497,822","118,998",$102.53 ,$303.58 ,"$1,270.00 ","$45,287,749.15 ","797,304","129,808","39,647",$85.58 ,$348.88 ,"$1,142.27 ","$8,750,172.97 ","112,627","22,130","5,951",$138.94 ,$395.40 ,"$1,470.37 ",62.35%,17.42%
Actoplus Met ,Pioglitazone HCl/Metformin HCl ,1,"$74,942,715.35 ","16,096,091","217,302","51,343",$4.66 ,$344.88 ,"$1,459.65 ","$7,078,323.12 ","1,298,708","17,841","4,935",$5.45 ,$396.74 ,"$1,434.31 ","$1,394,246.14 ","212,245","2,583",921,$6.57 ,$539.78 ,"$1,513.84 ","$924,537.31 ","116,352","1,351",321,$7.95 ,$684.34 ,"$2,880.18 ","$733,373.29 ","83,887",952,216,$8.74 ,$770.35 ,"$3,395.25 ",10.03%,17.06%
Actoplus Met XR ,Pioglitazone HCl/Metformin HCl ,1,"$2,361,624.31 ","377,011","6,199","1,594",$6.80 ,$380.97 ,"$1,481.57 ","$2,982,026.50 ","420,808","5,606","1,478",$7.65 ,$531.93 ,"$2,017.61 ","$2,711,238.52 ","313,926","4,029","1,110",$9.31 ,$672.93 ,"$2,442.56 ","$2,801,788.81 ","270,702","3,356",878,$11.28 ,$834.86 ,"$3,191.10 ","$2,754,835.69 ","246,672","2,976",732,$12.16 ,$925.68 ,"$3,763.44 ",7.85%,15.65%
Actos ,Pioglitazone HCl ,1,"$655,782,601.30 ","75,434,845","1,937,015","448,908",$8.68 ,$338.55 ,"$1,460.84 ","$34,240,903.06 ","3,481,531","86,671","25,933",$9.84 ,$395.07 ,"$1,320.36 ","$6,975,591.33 ","579,784","13,226","4,097",$12.12 ,$527.42 ,"$1,702.61 ","$4,854,885.56 ","331,403","6,756","1,547",$14.75 ,$718.60 ,"$3,138.26 ","$3,850,687.67 ","240,651","4,711","1,055",$16.09 ,$817.38 ,"$3,649.94 ",9.07%,16.66%
Acular ,Ketorolac Tromethamine ,1,"$199,513.02 ","8,731","1,458",807,$22.85 ,$136.84 ,$247.23 ,"$188,135.47 ","6,307",995,506,$29.83 ,$189.08 ,$371.81 ,"$139,160.06 ","4,440",706,359,$31.34 ,$197.11 ,$387.63 ,"$105,496.14 ","2,991",451,202,$35.27 ,$233.92 ,$522.26 ,"$107,631.23 ","2,775",439,204,$38.79 ,$245.17 ,$527.60 ,9.97%,14.14%
Acular Ls ,Ketorolac Tromethamine ,1,"$287,661.36 ","11,826","2,161","1,199",$24.32 ,$133.11 ,$239.92 ,"$247,413.88 ","7,847","1,375",772,$31.53 ,$179.94 ,$320.48 ,"$346,808.81 ","10,925","1,978","1,253",$31.74 ,$175.33 ,$276.78 ,"$127,423.16 ","3,421",573,277,$37.25 ,$222.38 ,$460.01 ,"$91,009.22 ","2,131",347,161,$42.71 ,$262.27 ,$565.27 ,14.66%,15.11%
Acuvail ,Ketorolac Tromethamine/PF ,1,"$1,572,375.32 ","325,393","9,245","6,304",$4.83 ,$170.08 ,$249.43 ,"$1,204,871.13 ","199,594","5,291","3,337",$6.04 ,$227.72 ,$361.06 ,"$649,436.21 ","99,095","2,462","1,449",$6.55 ,$263.78 ,$448.20 ,"$520,734.95 ","70,525","1,655",877,$7.38 ,$314.64 ,$593.77 ,"$481,254.14 ","56,785","1,320",630,$8.48 ,$364.59 ,$763.90 ,14.78%,15.08%
Acyclovir ,Acyclovir ,21,"$24,532,618.83 ","71,686,397","1,154,963","475,890",$0.37 ,$21.24 ,$51.55 ,"$55,304,143.97 ","83,168,462","1,373,663","564,230",$1.15 ,$40.26 ,$98.02 ,"$76,207,261.74 ","92,362,270","1,526,239","616,915",$1.58 ,$49.93 ,$123.53 ,"$69,578,259.10 ","99,423,817","1,611,837","639,862",$1.39 ,$43.17 ,$108.74 ,"$66,322,617.08 ","106,060,001","1,684,142","659,797",$1.26 ,$39.38 ,$100.52 ,-9.75%,36.18%
Acyclovir Sodium ,Acyclovir Sodium ,2,"$68,907.49 ","69,876",276,145,$0.99 ,$249.66 ,$475.22 ,"$75,767.42 ","94,439",314,150,$0.80 ,$241.30 ,$505.12 ,"$86,170.50 ","99,731",331,148,$0.86 ,$260.33 ,$582.23 ,"$70,079.64 ","103,702",312,131,$0.68 ,$224.61 ,$534.96 ,"$75,728.45 ","150,062",341,125,$0.51 ,$222.08 ,$605.83 ,-25.22%,-15.40%
Aczone ,Dapsone ,1,"$901,728.54 ","157,937","3,256","1,772",$5.71 ,$276.94 ,$508.88 ,"$1,605,481.41 ","259,055","4,799","2,705",$6.20 ,$334.54 ,$593.52 ,"$2,426,514.68 ","358,756","6,574","3,498",$6.76 ,$369.11 ,$693.69 ,"$2,003,689.84 ","270,478","4,797","2,573",$7.41 ,$417.70 ,$778.74 ,"$1,810,947.97 ","227,040","3,631","1,894",$7.98 ,$498.75 ,$956.15 ,7.67%,8.72%
Adacel Tdap ,"Diph,Pertuss(Acell),Tet Vac/PF ",1,"$11,206,685.59 ","173,909","208,209","206,471",$64.10 ,$53.82 ,$54.28 ,"$8,217,753.66 ","106,470","146,032","144,427",$79.47 ,$56.27 ,$56.90 ,"$9,782,644.14 ","135,511","180,114","179,174",$72.51 ,$54.31 ,$54.60 ,"$10,998,965.20 ","126,052","189,822","188,964",$87.25 ,$57.94 ,$58.21 ,"$10,032,153.66 ","106,893","167,808","167,176",$93.79 ,$59.78 ,$60.01 ,7.49%,9.98%
Adalat Cc ,Nifedipine ,1,"$269,452.94 ","130,401","2,656",517,$2.06 ,$101.45 ,$521.19 ,"$310,028.74 ","152,246","2,962",580,$2.09 ,$104.67 ,$534.53 ,"$298,337.51 ","141,720","2,682",514,$2.14 ,$111.24 ,$580.42 ,"$271,043.52 ","129,664","2,278",439,$2.11 ,$118.98 ,$617.41 ,"$240,665.15 ","113,423","1,902",394,$2.16 ,$126.53 ,$610.83 ,2.22%,1.12%
Adapalene ,Adapalene ,8,"$1,084,063.18 ","301,816","6,340","3,419",$3.59 ,$170.99 ,$317.07 ,"$1,394,441.89 ","396,915","8,246","4,424",$3.51 ,$169.11 ,$315.20 ,"$1,856,526.09 ","514,940","10,705","5,557",$3.60 ,$173.43 ,$334.09 ,"$1,683,619.54 ","489,730","10,174","5,202",$3.44 ,$165.48 ,$323.65 ,"$1,484,532.12 ","460,622","9,605","5,198",$3.22 ,$154.56 ,$285.60 ,-6.27%,-2.68%
Adcirca ,Tadalafil ,1,"$62,944,582.68 ","2,634,155","42,969","6,525",$23.90 ,"$1,464.88 ","$9,646.68 ","$111,240,216.85 ","3,880,460","62,507","8,773",$28.67 ,"$1,779.64 ","$12,679.84 ","$156,611,839.73 ","4,577,842","74,347","9,915",$34.21 ,"$2,106.50 ","$15,795.45 ","$212,505,630.01 ","5,109,163","83,465","10,653",$41.59 ,"$2,546.04 ","$19,947.96 ","$275,975,645.54 ","5,468,516","89,381","10,987",$50.47 ,"$3,087.63 ","$25,118.38 ",21.33%,20.55%
Adderall ,Dextroamphetamine/Amphetamine ,1,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,"$1,423,024.79 ","310,190","3,842",961,$4.59 ,$370.39 ,"$1,480.78 ","$2,293,659.39 ","467,781","6,080","1,261",$4.90 ,$377.25 ,"$1,818.92 ","$2,661,509.22 ","497,949","6,717","1,333",$5.35 ,$396.23 ,"$1,996.63 ",9.02%,7.94%
Adderall XR ,Dextroamphetamine/Amphetamine ,1,"$11,986,572.12 ","1,849,565","35,791","9,794",$6.50 ,$334.90 ,"$1,223.87 ","$9,257,638.44 ","1,515,924","25,777","6,025",$6.15 ,$359.14 ,"$1,536.54 ","$8,808,169.40 ","1,491,290","24,969","5,720",$5.98 ,$352.76 ,"$1,539.89 ","$9,167,774.03 ","1,597,283","26,653","6,047",$5.82 ,$343.97 ,"$1,516.09 ","$8,987,834.37 ","1,681,371","27,188","6,225",$5.43 ,$330.58 ,"$1,443.83 ",-6.60%,-4.37%
Adefovir Dipivoxil ,Adefovir Dipivoxil ,1,  ,  ,  ,  ,  ,  ,  ,"$1,075,107.80 ","36,172",984,454,$29.72 ,"$1,092.59 ","$2,368.08 ","$6,199,183.65 ","208,244","5,621",947,$29.77 ,"$1,102.86 ","$6,546.13 ","$6,916,040.11 ","239,914","6,756",974,$28.83 ,"$1,023.69 ","$7,100.66 ","$6,185,377.12 ","232,352","6,440",938,$26.62 ,$960.46 ,"$6,594.22 ",-7.65%,-3.61%
Adempas ,Riociguat ,1,  ,  ,  ,  ,  ,  ,  ,"$1,483,736.93 ","17,226",202,141,$86.14 ,"$7,345.23 ","$10,522.96 ","$49,265,393.08 ","563,844","6,570","1,145",$87.38 ,"$7,498.54 ","$43,026.54 ","$113,853,147.07 ","1,217,570","14,061","1,943",$93.51 ,"$8,097.09 ","$58,596.58 ","$184,163,582.80 ","1,849,781","21,306","2,782",$99.56 ,"$8,643.74 ","$66,198.27 ",6.47%,4.94%
Adrenalin ,Epinephrine ,1,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,"$1,054.87 ",238,215,203,$4.43 ,$4.91 ,$5.20 ,$670.14 ,689,136,126,$0.97 ,$4.93 ,$5.32 ,"$2,486.92 ",357,176,160,$6.97 ,$14.13 ,$15.54 ,616.22%,25.37%
