Brand Name,Generic Name,Tot_Mftr,Manufacturer,2017 Total Spending,2017 Total Dosage Units,2017 Total Claims,"2017 Total 
Beneficiaries",2017 Average Spending Per Dosage Unit (Weighted),"2017 Average 
Spending Per Claim","2017 Average 
Spending Per Beneficiary","2017 Outlier 
Flag",2018 Total Spending,2018 Total Dosage Units,2018 Total Claims,"2018 Total 
Beneficiaries",2018 Average Spending Per Dosage Unit (Weighted),"2018 Average 
Spending Per Claim","2018 Average 
Spending Per Beneficiary","2018 Outlier 
Flag"
Absorica Ld,"Isotretinoin, Micronized",1,Sun Pharmaceuti,,,,,,,,,,,,,,,,
Acamprosate Calcium,Acamprosate Calcium,6,Overall,5160091.1,5187270.01,32344,9916,0.994481746,159.5378154,520.3803046,0,5272879.18,5536265,34628,10706,0.952239019,152.272126,492.5162694,0
Acamprosate Calcium,Acamprosate Calcium,1,Teva USA,573793.92,581780,3523,1707,0.986273024,162.870826,336.1417223,0,105642.26,111579,757,410,0.946793393,139.5538441,257.6640488,0
Acamprosate Calcium,Acamprosate Calcium,1,Mylan,1019547.92,1071936,6914,2581,0.951127605,147.4613711,395.0205037,0,523392.12,573142,3774,1612,0.913197986,138.6836566,324.684938,0
Acamprosate Calcium,Acamprosate Calcium,1,Zydus Pharmaceu,437304.38,437387,2630,1368,0.999811106,166.2754297,319.6669444,0,1592019.25,1673011,10463,4051,0.95158923,152.1570534,392.9941373,0
Acamprosate Calcium,Acamprosate Calcium,1,Glenmark Pharma,3124511.22,3091660.01,19236,6275,1.010625751,162.4304024,497.9300749,0,3043129.45,3171030,19572,6477,0.959665929,155.4838264,469.8362591,0
Acamprosate Calcium,Acamprosate Calcium,1,AHP,4933.66,4507,41,32,1.094666075,120.3331707,154.176875,0,3358.03,2860,27,17,1.174136364,124.3714815,197.5311765,1
Acamprosate Calcium,Acamprosate Calcium,1,Marlex Pharm.,,,,,,,,,5338.07,4643,35,24,1.149702778,152.5162857,222.4195833,0
Acanya,Clindamycin Phos/Benzoyl Perox,1,Overall,255946.1,26640,497,274,9.607586336,514.9820926,934.109854,0,146741.77,13850,254,143,10.59507365,577.7235039,1026.166224,0
Acanya,Clindamycin Phos/Benzoyl Perox,1,Bausch Health U,255946.1,26640,497,274,9.607586336,514.9820926,934.109854,0,146741.77,13850,254,143,10.59507365,577.7235039,1026.166224,0
Acarbose,Acarbose,5,Overall,9539213.14,25708376.42,193310,42354,0.372542771,49.34671326,225.2257907,0,9572510.59,26661120.5,193087,42897,0.359509572,49.57615267,223.15105,0
Acarbose,Acarbose,1,Roxane/West-War,555464.85,1418565.5,13731,3825,0.390581587,40.4533428,145.2195686,0,307877.52,897667,8449,2191,0.341850376,36.43952184,140.5191785,0
Acarbose,Acarbose,1,Virtus Pharmace,5127858.23,14288065.5,98977,26282,0.358036548,51.80858412,195.1091329,0,5005722.25,14225421.5,94608,27176,0.350764166,52.91013709,184.1964325,0
Acarbose,Acarbose,1,Strides Pharma,2018832.65,5597846.48,44171,11778,0.362338329,45.70493423,171.4070852,0,2436933.51,6912154.5,53553,16385,0.353783933,45.50507927,148.7295398,0
Acarbose,Acarbose,1,Alvogen Inc,1785152.5,4273510.94,35174,8924,0.418247109,50.75204697,200.0395002,0,1790391.82,4538894.5,35688,9984,0.395294754,50.16789453,179.3261038,0
Acarbose,Acarbose,1,Avet Pharmaceut,51904.91,130388,1257,385,0.397385722,41.29268894,134.8179481,0,31585.49,86983,789,208,0.367255325,40.03230672,151.8533173,0
Accolate,Zafirlukast,1,Overall,374889.01,100896,1082,190,3.715295657,346.4778281,1973.100053,0,335122.21,89645,951,166,3.738054399,352.389285,2018.808494,0
Accolate,Zafirlukast,1,Par Pharmaceuti,374889.01,100896,1082,190,3.715295657,346.4778281,1973.100053,0,335122.21,89645,951,166,3.738054399,352.389285,2018.808494,0
Accupril,Quinapril HCl,1,Overall,2577686.04,633391,8084,1728,4.06853494,318.8626967,1491.716458,0,2823256.85,609380,7383,1640,4.633250924,382.3996817,1721.498079,0
Accupril,Quinapril HCl,1,Pfizer US Pharm,2577686.04,633391,8084,1728,4.06853494,318.8626967,1491.716458,0,2823256.85,609380,7383,1640,4.633250924,382.3996817,1721.498079,0
Accuretic,Quinapril/Hydrochlorothiazide,1,Overall,328466.3,84291,985,256,3.896435073,333.4683249,1283.071484,0,354071.71,80439,932,229,4.402074636,379.9052682,1546.164673,0
Accuretic,Quinapril/Hydrochlorothiazide,1,Pfizer US Pharm,328466.3,84291,985,256,3.896435073,333.4683249,1283.071484,0,354071.71,80439,932,229,4.402074636,379.9052682,1546.164673,0
Accutane,Isotretinoin,1,Overall,,,,,,,,,,,,,,,,
Accutane,Isotretinoin,1,"Jg Pharma, Inc.",,,,,,,,,,,,,,,,
Acebutolol HCl,Acebutolol HCl,3,Overall,3381409.26,10575073,112569,22490,0.320910996,30.03854756,150.351679,0,3489566.59,10347712,105400,21865,0.337890631,33.10784241,159.5960023,0
Acebutolol HCl,Acebutolol HCl,1,Marlex Pharm.,,,,,,,,,913.47,2760,34,16,0.342430099,26.86676471,57.091875,1
Acebutolol HCl,Acebutolol HCl,1,Mylan,1414077.33,4639628,47007,12903,0.304834602,30.08227136,109.592911,0,1408115.98,4295127,42041,11259,0.327955734,33.49387455,125.0658122,0
Acebutolol HCl,Acebutolol HCl,1,Amneal Pharmace,1967331.93,5935445,65562,15016,0.332437536,30.00719823,131.0157119,0,2080537.14,6049825,63325,15697,0.344483899,32.85490944,132.543616,0
Acetamin-Caff-Dihydrocodeine,Acetaminophen/Caff/Dihydrocod,1,Overall,514160.74,215347,2261,1130,2.38759184,227.4041309,455.0095044,0,507947.64,203714,2277,1070,2.49343511,223.0775758,474.7174206,0
Acetamin-Caff-Dihydrocodeine,Acetaminophen/Caff/Dihydrocod,1,Xspire Pharma,514160.74,215347,2261,1130,2.38759184,227.4041309,455.0095044,0,507947.64,203714,2277,1070,2.49343511,223.0775758,474.7174206,0
Acetaminophen,Acetaminophen,3,Overall,,,,,,,,,,,,,,,,
Acetaminophen,Acetaminophen,1,Leucadia Pharma,,,,,,,,,,,,,,,,
Acetaminophen,Acetaminophen,1,Sandoz,,,,,,,,,,,,,,,,
Acetaminophen,Acetaminophen,1,B.Braun,,,,,,,,,,,,,,,,
Acetaminophen-Codeine,Acetaminophen With Codeine,10,Overall,40592370.48,202626905.4,3572190,1657049,0.200644183,11.36344105,24.49678343,0,38185204.83,184520002.3,3347827,1535095,0.209669187,11.40596716,24.87481545,0
Acetaminophen-Codeine,Acetaminophen With Codeine,1,Eywa Pharma Inc,,,,,,,,,,,,,,,,
Acetaminophen-Codeine,Acetaminophen With Codeine,1,Ranbaxy Pharmac,1401.46,4871,74,33,0.284155379,18.93864865,42.46848485,0,1428.87,4526,60,28,0.313253751,23.8145,51.03107143,0
Acetaminophen-Codeine,Acetaminophen With Codeine,1,Pharm Assoc Inc,60919.04,2143283.645,7189,4972,0.028424967,8.473924051,12.25242156,0,55356.05,2085259.577,6807,4595,0.026566683,8.132224181,12.0470185,0
Acetaminophen-Codeine,Acetaminophen With Codeine,1,Teva USA,13517861.08,66600371,1243889,622814,0.195953819,10.8674175,21.70449136,0,7238730.21,35395817.97,637845,328208,0.198487767,11.34872925,22.05531313,0
Acetaminophen-Codeine,Acetaminophen With Codeine,1,Aurobindo Pharm,5218631.41,22312481.5,322079,162023,0.225894017,16.20295459,32.20920123,0,7076700.58,31965612,570830,296106,0.214909934,12.3972121,23.89921373,0
Acetaminophen-Codeine,Acetaminophen With Codeine,1,AHP,9480.26,32870.85,627,348,0.286622623,15.1200319,27.24212644,0,3670.49,14921,253,172,0.26619446,14.50786561,21.34005814,0
Acetaminophen-Codeine,Acetaminophen With Codeine,1,Mallinckrodt Ph,13815654.92,59790655.99,1067967,520126,0.223773147,12.9364062,26.56213095,0,15574389.35,70159499,1298824,654237,0.217159561,11.99114688,23.80542426,0
Acetaminophen-Codeine,Acetaminophen With Codeine,1,Amneal Pharmace,7137015.05,40945429,856445,487051,0.174305539,8.333302255,14.65352715,0,6794065.87,32731571.5,712431,407908,0.207569193,9.536454576,16.65587797,0
Acetaminophen-Codeine,Acetaminophen With Codeine,1,Qualitest/Par P,634185.97,2720442,48131,27226,0.227262505,13.17624753,23.29339492,0,1270749.02,5618034,100054,58862,0.21906503,12.70063186,21.58861439,0
Acetaminophen-Codeine,Acetaminophen With Codeine,1,Hi-Tech/Akorn C,197221.29,8076500.375,25789,17389,0.024418212,7.647496607,11.34172695,0,170114.39,6544761.246,20723,13586,0.025990783,8.208965401,12.5213006,0
Acetazolamide,Acetazolamide,12,Overall,26575069.6,14246372.7,225917,80468,1.857531179,117.6320047,330.2563702,0,25178838.74,14881544.09,233605,86441,1.679345687,107.7838177,291.2835199,0
Acetazolamide,Acetazolamide,1,AHP,29383.79,12578,262,65,2.336125775,112.1518702,452.0583077,0,6569.86,3277,76,30,2.004839793,86.44552632,218.9953333,0
Acetazolamide,Acetazolamide,1,Marlex Pharm.,5197.48,1936,31,12,2.68464876,167.6606452,433.1233333,0,1860.29,812,16,11,2.290997537,116.268125,169.1172727,1
Acetazolamide,Acetazolamide,1,Novitium Pharma,,,,,,,,,,,,,,,,
Acetazolamide,Acetazolamide,1,Eywa Pharma Inc,,,,,,,,,,,,,,,,
Acetazolamide,Acetazolamide,1,Breckenridge,,,,,,,,,,,,,,,,
Acetazolamide,Acetazolamide,1,Avet Pharmaceut,1807472.15,1020629.5,16946,8197,1.766346786,106.6606957,220.5041052,0,5917901.72,3470475.5,50658,21365,1.679847066,116.8206743,276.9904854,0
Acetazolamide,Acetazolamide,1,Strides Pharma,,,,,,,,,1824542.64,1150653.5,17045,7608,1.584677413,107.0426894,239.818959,0
Acetazolamide,Acetazolamide,1,Lannett Co. Inc,12241394.95,6542148,98059,35386,1.871158364,124.8370364,345.9389292,0,6754653.43,3845924.357,60028,25833,1.756314686,112.5250455,261.4738292,0
Acetazolamide,Acetazolamide,1,Lifestar Pharma,,,,,,,,,,,,,,,,
Acetazolamide,Acetazolamide,1,Taro Pharm USA,12491621.23,6669081.201,110619,43484,1.858054689,112.9247347,287.2693687,0,10673310.8,6410401.733,105782,42709,1.650355904,100.8991208,249.9077665,0
Acetazolamide,Acetazolamide,1,"Trupharma, LLC.",,,,,,,,,,,,,,,,
Acetazolamide,Acetazolamide,1,Major Pharmaceu,,,,,,,,,,,,,,,,
Acetazolamide ER,Acetazolamide,6,Overall,10326055.14,4421936,81108,34537,2.335014739,127.3124123,298.9852952,0,9373543.55,4699925.232,82398,34240,1.994488557,113.7593576,273.7600336,0
Acetazolamide ER,Acetazolamide,1,Avet Pharmaceut,5370080.77,2311529,43625,17504,2.323172571,123.0964073,306.7916345,0,3587559.57,1818343,33761,15291,1.972982859,106.2634273,234.6190288,0
Acetazolamide ER,Acetazolamide,1,"Micro Labs USA,",,,,,,,,,,,,,,,,
Acetazolamide ER,Acetazolamide,1,Ingenus Pharmac,21538.01,8860,120,111,2.430926637,179.4834167,194.0361261,0,1874188.51,948289,15245,6243,1.976389592,122.9379147,300.2063928,0
Acetazolamide ER,Acetazolamide,1,Zydus Pharmaceu,4409153.3,1868322,33401,15232,2.359953638,132.0066256,289.4664719,0,3473330.98,1680134.232,29130,14029,2.06729374,119.2355297,247.5822211,0
Acetazolamide ER,Acetazolamide,1,Nostrum Laborat,525283.06,233225,3962,1759,2.252258806,132.5802776,298.6259579,0,438464.49,253159,4262,2038,1.731972752,102.8776373,215.1444995,0
Acetazolamide ER,Acetazolamide,1,Alembic Pharmac,,,,,,,,,,,,,,,,
Acetic Acid*,Acetic Acid,7,Overall,1378072.76,46943023.16,66176,34822,0.848609673,20.82435868,39.57477342,0,1505691.5,48935842.17,71448,39139,0.921214062,21.07394889,38.47036204,0
Acetic Acid*,Acetic Acid,1,"Trupharma, LLC.",,,,,,,,,,,,,,,,
Acetic Acid*,Acetic Acid,1,Hospira/Icu Med,346219.7,24311383,18161,3775,0.014241053,19.06391168,91.71382782,0,284434.66,20083564.67,14841,3632,0.014162559,19.16546459,78.31350771,0
Acetic Acid*,Acetic Acid,1,Baxter Healthca,118817.33,16979912.66,10204,2716,0.006997523,11.64419149,43.74717599,0,144508.04,19840913,11934,3293,0.007283336,12.10893581,43.88340115,0
Acetic Acid*,Acetic Acid,1,Rising Pharm,,,,,,,,,,,,,,,,
Acetic Acid*,Acetic Acid,1,Morton Grove Ph,465849.07,291601,18413,14992,1.59755649,25.30000923,31.07317703,0,553127.97,338714,21541,17690,1.633023642,25.67791514,31.26783324,0
Acetic Acid*,Acetic Acid,1,B.Braun,25457.62,5093636,2717,750,0.004997927,9.369753405,33.94349333,0,43188.85,8378572.5,4572,1237,0.005154679,9.44638014,34.91418755,0
Acetic Acid*,Acetic Acid,1,Hi-Tech/Akorn C,421729.04,266490.5,16681,13513,1.582529359,25.28199988,31.20913491,0,480431.98,294078,18560,15016,1.633688953,25.88534375,31.99467102,0
Acetylcysteine*,Acetylcysteine,7,Overall,2356964.64,2275137.46,28974,7992,1.0334451,81.34757507,294.9154955,0,2092216.58,1994987,24093,6766,1.031788644,86.83918898,309.225034,0
Acetylcysteine*,Acetylcysteine,1,App/Fresenius K,1012346.95,1051778,14076,4706,0.967778037,71.92007317,215.1183489,0,502478.88,507152,6795,2726,0.991120862,73.94832671,184.3282759,0
Acetylcysteine*,Acetylcysteine,1,Hospira/Pfizer,277121.69,740726.47,8835,2963,0.374133589,31.36634861,93.52740128,0,356230.36,975593,11378,3395,0.365196715,31.30869749,104.9279411,0
Acetylcysteine*,Acetylcysteine,1,Sagent Pharmace,,,,,,,,,,,,,,,,
Acetylcysteine*,Acetylcysteine,1,Perrigo/Padagis,263422.6,54245,480,259,4.856163702,548.7970833,1017.075676,0,402533.84,81016.5,728,286,4.96854147,552.9310989,1407.460979,0
Acetylcysteine*,Acetylcysteine,1,Auromedics Phar,15583.59,2454,23,12,6.350281174,677.5473913,1298.6325,1,48903.26,7557,99,36,6.471253143,493.9723232,1358.423889,0
Acetylcysteine*,Acetylcysteine,1,Fresenius Kabi*,28078.29,6317,80,53,4.444877315,350.978625,529.7790566,1,51600.21,9675,127,56,5.333355039,406.3008661,921.4323214,0
Acetylcysteine*,Acetylcysteine,1,Amer. Regent,760411.52,419616.99,5480,1809,1.85812394,138.7612263,420.349099,0,730470.03,413993.5,4966,1664,1.819154446,147.0942469,438.984393,0
Aciphex,Rabeprazole Sodium,1,Overall,25305061.08,1495019,21943,4461,16.92624715,1153.217932,5672.508648,0,22178234.16,1299928,18579,3781,17.06112505,1193.725936,5865.70594,0
Aciphex,Rabeprazole Sodium,1,Eisai/ Woodward,25305061.08,1495019,21943,4461,16.92624715,1153.217932,5672.508648,0,22178234.16,1299928,18579,3781,17.06112505,1193.725936,5865.70594,0
Acitretin,Acitretin,6,Overall,25392185.39,1278894,33693,8110,19.97442244,753.6338524,3130.972305,0,24971062.75,1497337,40682,8659,16.795092,613.8110897,2883.827549,0
Acitretin,Acitretin,1,Avkare,10672.92,582,18,15,18.26167434,592.94,711.528,1,583832.34,35220,1034,368,16.58174683,564.6347582,1586.500924,0
Acitretin,Acitretin,1,Mylan,5325435.09,268998,7402,2169,19.86326544,719.4589422,2455.249004,0,6806742.23,397766,10785,2670,17.13646566,631.1304803,2549.341659,0
Acitretin,Acitretin,1,Amneal Pharmace,1191125.23,59279,1789,918,20.23012931,665.8050475,1297.522037,0,3763655.63,224645,6515,2100,16.86290377,577.6908104,1792.216967,0
Acitretin,Acitretin,1,Prasco Labs,3893531.83,189639,5672,2004,20.55147032,686.4477839,1942.880155,0,2885523.35,166575,4929,1511,17.32987385,585.4175999,1909.677929,0
Acitretin,Acitretin,1,Teva USA,6662185.27,318613,7966,2528,21.03431779,836.3275508,2635.358097,0,4598592.73,261833,7276,2038,17.60628983,632.0220904,2256.424303,0
Acitretin,Acitretin,1,Sigmapharm Labo,8309235.05,441783,10846,3344,18.9307208,766.1105523,2484.819094,0,6332716.47,411298,10143,2721,15.56851948,624.3435345,2327.348942,0
Actemra Actpen,Tocilizumab,1,Overall,,,,,,,,,,,,,,,,
Actemra Actpen,Tocilizumab,1,"Genentech, Inc.",,,,,,,,,,,,,,,,
Actemra*,Tocilizumab,1,Overall,86368360.18,151287.1,27269,4696,906.7850112,3167.272734,18391.89953,0,130523440.2,185715.59,36098,5786,1015.824693,3615.808083,22558.49295,0
Actemra*,Tocilizumab,1,"Genentech, Inc.*",86368360.18,151287.1,27269,4696,906.7850112,3167.272734,18391.89953,0,130523440.2,185715.59,36098,5786,1015.824693,3615.808083,22558.49295,0
Acthar,Corticotropin,1,Overall,680601944.7,92590,12481,2839,7350.706822,54531.04276,239732.9851,0,724638118.9,90830,11907,2475,7977.960134,60858.16066,292783.0784,0
Acthar,Corticotropin,1,Mallinckrodt Ph,680601944.7,92590,12481,2839,7350.706822,54531.04276,239732.9851,0,724638118.9,90830,11907,2475,7977.960134,60858.16066,292783.0784,0
Acthib,Haemoph B Poly Conj-Tet Tox/PF,1,Overall,13600.64,425,422,378,32.00150588,32.22900474,35.9805291,1,27574.35,815.9,786,704,33.79623728,35.08187023,39.1681108,1
Acthib,Haemoph B Poly Conj-Tet Tox/PF,1,Sanofi-Pasteur,13600.64,425,422,378,32.00150588,32.22900474,35.9805291,1,27574.35,815.9,786,704,33.79623728,35.08187023,39.1681108,1
Actigall,Ursodiol,1,Overall,,,,160,,,,,,,,136,,,,
Actigall,Ursodiol,1,Allergan Inc.,,,,,,,,,,,,,,,,
Actimmune,"Interferon Gamma-1b,Recomb.",1,Overall,,,,50,,,,,18992801.81,2118,337,53,8967.328522,56358.46234,358354.7511,0
Actimmune,"Interferon Gamma-1b,Recomb.",1,Horizon Therape,,,,,,,,,18992801.81,2118,337,51,8967.328522,56358.46234,372407.8786,0
Activella,Estradiol/Norethindrone Acet,1,Overall,,,,296,,,,,,,,255,,,,
Activella,Estradiol/Norethindrone Acet,1,Amneal Pharmace,,,,,,,,,,,,,,,,
Actonel,Risedronate Sodium,1,Overall,4832386.05,55641,9757,2228,157.8873039,495.2737573,2168.934493,0,3671232.33,36899,6597,1445,173.7016191,556.5002774,2540.645211,0
Actonel,Risedronate Sodium,1,Actavis/Allerga,4832386.05,55641,9757,2228,157.8873039,495.2737573,2168.934493,0,3671232.33,36899,6597,1445,173.7016191,556.5002774,2540.645211,0
Actoplus Met,Pioglitazone HCl/Metformin HCl,1,Overall,609761.63,64831,712,161,9.405155493,856.4067837,3787.339317,0,461467.05,47787,556,113,9.656059647,829.9767086,4083.779204,0
Actoplus Met,Pioglitazone HCl/Metformin HCl,1,Takeda Pharmace,609761.63,64831,712,161,9.405155493,856.4067837,3787.339317,0,461467.05,47787,556,113,9.656059647,829.9767086,4083.779204,0
Actos,Pioglitazone HCl,1,Overall,3428174.99,195724,3750,808,17.55402487,914.1799973,4242.790829,0,2784260.16,159372,2982,632,17.42415825,933.6888531,4405.474937,0
Actos,Pioglitazone HCl,1,Takeda Pharmace,3428174.99,195724,3750,808,17.55402487,914.1799973,4242.790829,0,2784260.16,159372,2982,632,17.42415825,933.6888531,4405.474937,0
